ReefID,LABEL_ID,GBRMPAFeatureName,LAT,LON,GBRMP,Within250kmOfPort,Shallow,ShallowestDepth
1354,20-078h,Haslewood Island Reef (No 6),-20.3025,149.0883,1,1,1,0.806999981
1355,20-079,Workington Reef,-20.2696,149.1194,1,1,1,-0.006
1356,20-020,Gumbrell Reef,-20.1002,148.6077,1,1,1,0.236000001
1357,20-041q,Whitsunday Island Reef (No 16),-20.2171,148.9518,1,1,1,-0.209999993
1358,20-041r,Whitsunday Island Reef (No 17),-20.1795,148.9577,1,1,1,0.40200001
1359,20-041t,Whitsunday Island Reef (No 18),-20.1561,148.9593,1,1,1,-0.044
1360,20-041u,Whitsunday Island Reef (No 19),-20.3276,148.9685,1,1,1,-0.203999996
1361,20-041v,Whitsunday Island Reef (No 20),-20.3231,148.9808,1,1,1,-0.382999986
1362,20-060g,Long Island Reef (No 7),-20.3887,148.8741,1,1,1,-0.013
1363,20-060h,Long Island Reef (No 8),-20.325,148.8557,1,1,1,-0.028999999
1364,20-080,Leeper Shoal,-20.1408,149.0891,1,1,0,-12.81099987
1365,20-081,Nicolson Reef,-20.3051,149.0942,1,1,1,-0.174999997
1366,20-021,Olden Reef,-20.104,148.5722,1,1,1,0.30399999
1367,20-022,Armit Island Reef,-20.1079,148.6527,1,1,1,-0.028000001
1368,20-041w,Whitsunday Island Reef (No 21),-20.306,148.9916,1,1,1,-0.061999999
1369,20-041x,Whitsunday Island Reef (No 22),-20.3099,149.0063,1,1,1,-0.30399999
1370,20-041y,Whitsunday Island Reef (No 23),-20.3159,149.0144,1,1,1,-0.061000001
1371,20-041z,Whitsunday Island Reef (No 24),-20.3061,149.0324,1,1,1,0.542999983
1372,20-061,Pine Island Reef,-20.3753,148.8864,1,1,1,-0.388000011
1373,19-267,U/N Reef,-19.7241,149.9966,1,1,1,-6.105000019
